category,file,detail
ERROR,"18POL.rpt","ERROR 211: invalid number  at line 72 of [XSECT] section:"
ERROR,"BIGXP1.rpt","ERROR 211: invalid number  at line 56 of [XSECT] section:"
ERROR,"CollapsingWeir.rpt","ERROR 235: invalid infiltration parameters at line 94 of [INFIL] section:"
ERROR,"DATA11.rpt","ERROR 211: invalid number  at line 66 of [XSECT] section:"
ERROR,"DATA12.rpt","ERROR 211: invalid number  at line 66 of [XSECT] section:"
ERROR,"DATA13.rpt","ERROR 211: invalid number  at line 73 of [XSECT] section:"
ERROR,"EAXMPL2.rpt","ERROR 211: invalid number  at line 75 of [XSECT] section:"
ERROR,"ERICMW.rpt","ERROR 211: invalid number  at line 407 of [XSECT] section:"
ERROR,"EROSBOD.rpt","ERROR 211: invalid number  at line 52 of [XSECT] section:"
ERROR,"EXWORK3.rpt","ERROR 211: invalid number  at line 59 of [XSECT] section:"
ERROR,"FRED-001.rpt","ERROR 211: invalid number  at line 52 of [XSECT] section:"
ERROR,"GRND4GAU.rpt","ERROR 211: invalid number  at line 66 of [XSECT] section:"
ERROR,"GWNODE.rpt","ERROR 211: invalid number  at line 50 of [XSECT] section:"
ERROR,"Gwnode1.rpt","ERROR 211: invalid number  at line 52 of [XSECT] section:"
ERROR,"KIL1.rpt","ERROR 211: invalid number  at line 222 of [XSECT] section:"
ERROR,"KIL2.rpt","ERROR 211: invalid number  at line 222 of [XSECT] section:"
ERROR,"KIL3.rpt","ERROR 211: invalid number  at line 453 of [XSECT] section:"
ERROR,"KILMAR.rpt","ERROR 211: invalid number  at line 375 of [XSECT] section:"
ERROR,"KILMAR_v1.01.rpt","ERROR 211: invalid number  at line 374 of [XSECT] section:"
ERROR,"MANDROP.rpt","ERROR 211: invalid number  at line 56 of [XSECT] section:"
ERROR,"MCCUEN.rpt","ERROR 211: invalid number  at line 52 of [XSECT] section:"
ERROR,"MCCUEN_v1.01.rpt","ERROR 211: invalid number  at line 52 of [XSECT] section:"
ERROR,"PEBBLA13.rpt","ERROR 211: invalid number  at line 88 of [XSECT] section:"
ERROR,"PEBBLA13_v1.01.rpt","ERROR 211: invalid number  at line 88 of [XSECT] section:"
ERROR,"PEBBLE13.rpt","ERROR 211: invalid number  at line 88 of [XSECT] section:"
ERROR,"PEBBLE13_v1.01.rpt","ERROR 211: invalid number  at line 88 of [XSECT] section:"
ERROR,"RN1.rpt","ERROR 211: invalid number  at line 66 of [XSECT] section:"
ERROR,"RUN1XP.rpt","ERROR 211: invalid number  at line 66 of [XSECT] section:"
ERROR,"RUN26.rpt","ERROR 211: invalid number  at line 66 of [XSECT] section:"
ERROR,"RUN7.rpt","ERROR 211: invalid number  at line 56 of [XSECT] section:"
ERROR,"RUN8.rpt","ERROR 211: invalid number  at line 66 of [XSECT] section:"
ERROR,"RUNOFF1.rpt","ERROR 211: invalid number  at line 68 of [XSECT] section:"
ERROR,"STPETE.rpt","ERROR 211: invalid number  at line 72 of [XSECT] section:"
ERROR,"STPETE2.rpt","ERROR 211: invalid number  at line 74 of [XSECT] section:"
ERROR,"STPETE2_v1.01.rpt","ERROR 211: invalid number  at line 74 of [XSECT] section:"
ERROR,"SW14.rpt","ERROR 211: invalid number  at line 75 of [XSECT] section:"
ERROR,"SWDAT14.rpt","ERROR 211: invalid number  at line 75 of [XSECT] section:"
ERROR,"T2.rpt","ERROR 211: invalid number  at line 75 of [XSECT] section:"
ERROR,"TANNER2.rpt","ERROR 211: invalid number  at line 185 of [XSECT] section:"
ERROR,"TBELLA.rpt","ERROR 211: invalid number  at line 74 of [XSECT] section:"
ERROR,"TEMPE2.rpt","ERROR 211: invalid number  at line 65 of [XSECT] section:"
ERROR,"TEMPE3.rpt","ERROR 211: invalid number  at line 73 of [XSECT] section:"
ERROR,"TEMPE4.rpt","ERROR 211: invalid number  at line 72 of [XSECT] section:"
ERROR,"TEST2.rpt","ERROR 211: invalid number  at line 77 of [XSECT] section:"
ERROR,"TEST2EXT.rpt","ERROR 211: invalid number  at line 78 of [XSECT] section:"
ERROR,"TEST2SWM.rpt","ERROR 211: invalid number  at line 78 of [XSECT] section:"
ERROR,"TESTEXT2.rpt","ERROR 211: invalid number  at line 77 of [XSECT] section:"
ERROR,"TPR1_60E.rpt","ERROR 211: invalid number  at line 516 of [XSECT] section:"
ERROR,"Testext2A.rpt","ERROR 211: invalid number  at line 78 of [XSECT] section:"
ERROR,"VERTICAL.rpt","ERROR 211: invalid number  at line 58 of [XSECT] section:"
ERROR,"WESTON.rpt","ERROR 211: invalid number  at line 56 of [XSECT] section:"
ERROR,"WETPOND.rpt","ERROR 211: invalid number  at line 54 of [XSECT] section:"
ERROR,"WRESX2.rpt","ERROR 211: invalid number  at line 77 of [XSECT] section:"
ERROR,"french drain.rpt","ERROR 211: invalid number  at line 74 of [XSECT] section:"
ERROR,"mod23.rpt","ERROR 211: invalid number  at line 77 of [XSECT] section:"
ERROR,"mod23_v5.1.rpt","ERROR 211: invalid number  at line 77 of [XSECT] section:"
ERROR,"mod23a.rpt","ERROR 211: invalid number  at line 77 of [XSECT] section:"
ERROR,"mod78a.rpt","ERROR 211: invalid number  at line 77 of [XSECT] section:"
ERROR,"mod96.rpt","ERROR 211: invalid number  at line 77 of [XSECT] section:"
ERROR,"mod96a.rpt","ERROR 211: invalid number  at line 77 of [XSECT] section:"
ERROR,"mod96b.rpt","ERROR 211: invalid number  at line 77 of [XSECT] section:"
ERROR,"variable_speed.rpt","ERROR 211: invalid number  at line 77 of [XSECT] section:"
HAS_FLOW,"01WET.rpt",""
HAS_FLOW,"0308.rpt",""
HAS_FLOW,"031000.rpt",""
HAS_FLOW,"031000_v6.rpt",""
HAS_FLOW,"050722_ALL_Updated2_Upper.rpt",""
HAS_FLOW,"06-1796J.rpt",""
HAS_FLOW,"0619.rpt",""
HAS_FLOW,"072798.rpt",""
HAS_FLOW,"10-exist1.rpt",""
HAS_FLOW,"100-12.rpt",""
HAS_FLOW,"100-12I.rpt",""
HAS_FLOW,"100-12r.rpt",""
HAS_FLOW,"100Y.rpt",""
HAS_FLOW,"100YR.rpt",""
HAS_FLOW,"100_minn_low_lev10rev.rpt",""
HAS_FLOW,"100y8h.rpt",""
HAS_FLOW,"100yr24hr_prop.rpt",""
HAS_FLOW,"100yrhec1.rpt",""
HAS_FLOW,"100yrpphec1.rpt",""
HAS_FLOW,"100yrpphec1_test1.rpt",""
HAS_FLOW,"1019.rpt",""
HAS_FLOW,"1019A.rpt",""
HAS_FLOW,"1019taa re5yr cselrev.rpt",""
HAS_FLOW,"10POLUTE.rpt",""
HAS_FLOW,"10WS_1DS.rpt",""
HAS_FLOW,"10X30.rpt",""
HAS_FLOW,"10YR.rpt",""
HAS_FLOW,"10YR1314.rpt",""
HAS_FLOW,"10YR15.rpt",""
HAS_FLOW,"10YRTUNL.rpt",""
HAS_FLOW,"11-09NL.rpt",""
HAS_FLOW,"1135fu.rpt",""
HAS_FLOW,"11411-1.rpt",""
HAS_FLOW,"11411-1A.rpt",""
HAS_FLOW,"11411-2.rpt",""
HAS_FLOW,"1226.rpt",""
HAS_FLOW,"1226_v2.04.rpt",""
HAS_FLOW,"1CAM.rpt",""
HAS_FLOW,"1D Model.rpt",""
HAS_FLOW,"1D-2D_River_starter.rpt",""
HAS_FLOW,"1D-2D_Urban_Flood_Pond_m.rpt",""
HAS_FLOW,"1D-2D_Urban_Flood_buildings_m.rpt",""
HAS_FLOW,"1D-2D_Urban_Flood_m.rpt",""
HAS_FLOW,"1D-2D_Urban_Rain_Grid_m.rpt",""
HAS_FLOW,"1D2D_Urban_completed.rpt",""
HAS_FLOW,"1D2D_Urban_completed_buildings.rpt",""
HAS_FLOW,"1D2D_Urban_completed_buildings_Pond_mitigation.rpt",""
HAS_FLOW,"1D2D_Urban_starter_model.rpt",""
HAS_FLOW,"1N40.rpt",""
HAS_FLOW,"1NS-HCAICE.rpt",""
HAS_FLOW,"1NwNPS2100yr.rpt",""
HAS_FLOW,"1SedimentPond.rpt",""
HAS_FLOW,"1_5RainWQ.rpt",""
HAS_FLOW,"1year.rpt",""
HAS_FLOW,"2-hyd-1.rpt",""
HAS_FLOW,"2-hyd-2.rpt",""
HAS_FLOW,"2-st-1.rpt",""
HAS_FLOW,"2-st-2.rpt",""
HAS_FLOW,"23307100.rpt",""
HAS_FLOW,"25PSTDV11.rpt",""
HAS_FLOW,"25PSTDV12.rpt",""
HAS_FLOW,"25yrpphec1_test1.rpt",""
HAS_FLOW,"29STREET.rpt",""
HAS_FLOW,"29STREET_v1.01.rpt",""
HAS_FLOW,"29STREET_v1.01_v1.01.rpt",""
HAS_FLOW,"2E-v1.rpt",""
HAS_FLOW,"2OWSH2.rpt",""
HAS_FLOW,"3YEAR.rpt",""
HAS_FLOW,"414.rpt",""
